Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
EIM,Eaton Vance Municipal Bond Fund,12.99,1048637494.8,,2002.0,,,https://old.nasdaq.com/symbol/eim,
ENX,Eaton Vance New York Municipal Bond Fund,12.34,223579747.96,,2002.0,,,https://old.nasdaq.com/symbol/enx,
EVY,Eaton Vance New York Municipal Income Trust,13.37,72769580.87,,1999.0,,,https://old.nasdaq.com/symbol/evy,
ELMD,"Electromed, Inc.",6.33,53462236.83,,2011.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/elmd,
ELLO,Ellomay Capital Ltd.,11.366,121378582.404,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ello,
ECF,Ellsworth Growth and Income Fund Ltd.,10.27,133747925.09,,1986.0,,,https://old.nasdaq.com/symbol/ecf,
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.47,0.0,,,,,https://old.nasdaq.com/symbol/ecf^a,
EMAN,eMagin Corporation,0.3545,17432102.5285,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/eman,
MSN,Emerson Radio Corporation,1.0,21042652.0,,,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/msn,
EMX,EMX Royalty Corporation,1.37,112812321.2,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/emx,
UUUU,Energy Fuels Inc,1.93,187774812.57,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/uuuu,
UUUU.WS,Energy Fuels Inc,,0.0,,,,,https://old.nasdaq.com/symbol/uuuu.ws,
ENSV,ENSERVCO Corporation,0.2401,13387454.7429,,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ensv,
EQX,Equinox Gold Corp.,5.47,620306735.59,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/eqx,
ESP,Espey Mfg. & Electronics Corp.,23.62,56716651.06,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/esp,
EVBN,"Evans Bancorp, Inc.",36.04,177305339.28,,,Finance,Major Banks,https://old.nasdaq.com/symbol/evbn,
EVI,"EVI Industries, Inc.",33.75,397903421.25,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evi,
EPM,"Evolution Petroleum Corporation, Inc.",5.63,186154807.11,,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/epm,
FEN,First Trust Energy Income and Growth Fund,22.51,450095553.6,,2004.0,,,https://old.nasdaq.com/symbol/fen,
BDL,"Flanigan&#39;s Enterprises, Inc.",21.953000000000003,40802877.591,,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/bdl,
FSI,Flexible Solutions International Inc.,2.44,29559489.8,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/fsi,
FTF,Franklin Limited Duration Income Trust,9.26,279085612.1,,2003.0,,,https://old.nasdaq.com/symbol/ftf,
FSP,Franklin Street Properties Corp.,8.55,916826375.25,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fsp,
FRD,Friedman Industries Inc.,6.39,44726447.16,,,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/frd,
FTNW,"FTE Networks, Inc.",0.45,11736083.25,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ftnw,
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.31,601968730.89,,2005.0,,,https://old.nasdaq.com/symbol/ggn,
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.83,0.0,,,,,https://old.nasdaq.com/symbol/ggn^b,
JOB,GEE Group Inc.,0.68,8526119.48,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/job,
GMO,"General Moly, Inc",0.24100000000000002,28996849.356999997,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gmo,
GSB,"GlobalSCAPE, Inc.",11.47,198720066.94,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gsb,
GSAT,"Globalstar, Inc.",0.3759,545735779.3335,,2006.0,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/gsat,
GLOW,"Glowpoint, Inc.",1.0,5139956.0,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/glow,
